selection,crossover,mutation,best_fitness,stopped_generation
tournament,pox,swap,816,347
tournament,pox,insertion,806,468
tournament,two_point,swap,856,674
roulette,pox,swap,920,571
roulette,pox,insertion,862,620
roulette,two_point,insertion,979,566
